ord,loop_set,loop_file,sample,sd,type,value,pvalue
1,cicero_05_10,beta_1_beta_2.cicero_05_10.bedpe,glucose_high,0,rankAPA,0.802600639190406,0
2,cicero_10_15,beta_1_beta_2.cicero_10_15.bedpe,glucose_high,0,rankAPA,0.817678835206939,0
3,cicero_15_20,beta_1_beta_2.cicero_15_20.bedpe,glucose_high,0,rankAPA,0.826193251998139,0
4,cicero_gt_20,beta_1_beta_2.cicero_gt_20.bedpe,glucose_high,0,rankAPA,0.82957524243597,0
1,cicero_05_10,beta_1_beta_2.cicero_05_10.bedpe,glucose_low,0,rankAPA,0.765361200557293,0.498
2,cicero_10_15,beta_1_beta_2.cicero_10_15.bedpe,glucose_low,0,rankAPA,0.780632611995757,0.004
3,cicero_15_20,beta_1_beta_2.cicero_15_20.bedpe,glucose_low,0,rankAPA,0.787303886383886,0
4,cicero_gt_20,beta_1_beta_2.cicero_gt_20.bedpe,glucose_low,0,rankAPA,0.790737962763344,0
0,neg_perm,neg_perm,glucose_high,0.0058175769374152,rankAPA,0.76523289696896,0.51
0,neg_perm,neg_perm,glucose_low,0.00538403002514092,rankAPA,0.736399130577054,1.495
